timepoint_id,z(um),z-surf(um),r(um)
5,0.0,-64.28999999999999,0.0
5,4.286,-60.00399999999999,0.0
5,8.572,-55.71799999999999,0.0
5,12.857999999999999,-51.431999999999995,0.0
5,17.144,-47.145999999999994,0.0
5,21.43,-42.85999999999999,0.0
5,25.715999999999998,-38.574,0.0
5,30.001999999999995,-34.288,0.0
5,34.288,-30.001999999999995,0.0
5,38.574,-25.715999999999994,0.0
5,42.86,-21.429999999999993,0.0
5,47.145999999999994,-17.144,5.644665623400558
5,51.431999999999995,-12.857999999999997,589.2825450070619
5,55.717999999999996,-8.571999999999996,681.7880567865648
5,60.00399999999999,-4.286000000000001,692.8998547063063
5,64.28999999999999,0.0,694.6812222467177
5,68.576,4.286000000000001,693.5435451408197
5,72.862,8.572000000000003,691.1173468693324
5,77.148,12.858000000000004,685.1043567679335
5,81.434,17.144000000000005,680.7645867079029
5,85.72,21.430000000000007,673.3782904098197
5,90.00599999999999,25.715999999999994,665.943796016669
5,94.29199999999999,30.001999999999995,658.456662770218
5,98.57799999999999,34.288,650.4871333783275
5,102.86399999999999,38.574,638.2742818612394
5,107.14999999999999,42.86,633.0709682089416
5,111.43599999999999,47.146,618.9936346333377
5,115.722,51.432,597.444361695323
5,120.00799999999998,55.71799999999999,579.1726647452633
5,124.29399999999998,60.00399999999999,546.271992814224
5,128.57999999999998,64.28999999999999,515.7872582626027
5,132.86599999999999,68.576,487.2321195439663
5,137.152,72.862,470.2219204754392
5,141.438,77.148,432.1504908351868
5,145.724,81.434,423.01450803132866
5,150.01,85.72,394.18162886577784
5,154.296,90.006,367.02743348394
5,158.582,94.292,347.19339782200655
5,162.868,98.578,313.4156748051309
5,167.154,102.864,295.4954038847772
5,171.44,107.15,275.8995456800692
5,175.72599999999997,111.43599999999998,248.90097946084208
5,180.01199999999997,115.72199999999998,234.71527590168847
5,184.29799999999997,120.00799999999998,215.95774303204385
5,188.58399999999997,124.29399999999998,193.64455524872835
5,192.86999999999998,128.57999999999998,158.53130502647656
5,197.15599999999998,132.86599999999999,122.43850956704756
5,201.44199999999998,137.152,33.76920407491577
5,205.72799999999998,141.438,9.612519180735092
5,210.01399999999998,145.724,0.0
5,214.29999999999998,150.01,0.0
5,218.58599999999998,154.296,0.0
5,222.87199999999999,158.582,0.0
5,227.158,162.868,0.0
5,231.444,167.154,0.0
5,235.73,171.44,0.0
5,240.01599999999996,175.72599999999997,0.0
5,244.30199999999996,180.01199999999997,0.0
5,248.58799999999997,184.29799999999997,0.0
5,252.87399999999997,188.58399999999997,0.0
5,257.15999999999997,192.86999999999998,0.0
5,261.44599999999997,197.15599999999998,0.0
5,265.73199999999997,201.44199999999998,0.0
5,270.018,205.72799999999998,0.0
5,274.304,210.01399999999998,0.0
5,278.59,214.29999999999998,0.0
10,0.0,-68.576,0.0
10,4.286,-64.28999999999999,0.0
10,8.572,-60.00399999999999,0.0
10,12.857999999999999,-55.717999999999996,0.0
10,17.144,-51.431999999999995,0.0
10,21.43,-47.145999999999994,0.0
10,25.715999999999998,-42.86,0.0
10,30.001999999999995,-38.574,0.0
10,34.288,-34.288,0.0
10,38.574,-30.001999999999995,10.908000000000001
10,42.86,-25.715999999999994,629.8786271655833
10,47.145999999999994,-21.43,877.5499370406222
10,51.431999999999995,-17.144,995.3944307258305
10,55.717999999999996,-12.857999999999997,1033.7564283563127
10,60.00399999999999,-8.572000000000003,1065.7107587869925
10,64.28999999999999,-4.286000000000001,1077.8358516459107
10,68.576,0.0,1078.6678554702366
10,72.862,4.286000000000001,1077.105299073603
10,77.148,8.572000000000003,1076.2503209513357
10,81.434,12.858000000000004,1067.5998525005853
10,85.72,17.144000000000005,1061.9014182478047
10,90.00599999999999,21.429999999999993,1053.6557715642125
10,94.29199999999999,25.715999999999994,1046.4903923463187
10,98.57799999999999,30.001999999999995,1040.6201665634098
10,102.86399999999999,34.288,1028.2660586845996
10,107.14999999999999,38.574,1017.240015097702
10,111.43599999999999,42.86,1004.4703230812244
10,115.722,47.146,987.346628357864
10,120.00799999999998,51.43199999999999,971.5387256325781
10,124.29399999999998,55.71799999999999,931.3333992798915
10,128.57999999999998,60.00399999999999,903.0166299314649
10,132.86599999999999,64.28999999999999,815.888296910828
10,137.152,68.576,767.7390547270729
10,141.438,72.862,691.552241206876
10,145.724,77.148,597.6825563464417
10,150.01,81.434,554.3920354109204
10,154.296,85.72,510.0907583714883
10,158.582,90.006,453.68858648513816
10,162.868,94.292,426.42869851245945
10,167.154,98.578,400.38951261374774
10,171.44,102.864,351.7108288767834
10,175.72599999999997,107.14999999999998,329.30085707603223
10,180.01199999999997,111.43599999999998,295.6381147778758
10,184.29799999999997,115.72199999999998,262.8000591780755
10,188.58399999999997,120.00799999999998,249.83157765704226
10,192.86999999999998,124.29399999999998,223.83743705149803
10,197.15599999999998,128.57999999999998,212.2701799304325
10,201.44199999999998,132.86599999999999,178.94546838833114
10,205.72799999999998,137.152,157.28086770607345
10,210.01399999999998,141.438,125.58878920479495
10,214.29999999999998,145.724,60.18650931894954
10,218.58599999999998,150.01,0.0
10,222.87199999999999,154.296,0.0
10,227.158,158.582,0.0
10,231.444,162.868,0.0
10,235.73,167.154,0.0
10,240.01599999999996,171.43999999999997,0.0
10,244.30199999999996,175.72599999999997,0.0
10,248.58799999999997,180.01199999999997,0.0
10,252.87399999999997,184.29799999999997,0.0
10,257.15999999999997,188.58399999999997,0.0
10,261.44599999999997,192.86999999999998,0.0
10,265.73199999999997,197.15599999999998,0.0
10,270.018,201.44199999999998,0.0
